description,amount,category
Oconnor-Anderson,18.69,Entertainment
incubate B2B mindshare,20.57,Healthcare
"Ford, Hubbard and Buchanan",48.66,Utilities
re-contextualize user-centric experiences,83.28,Groceries
Smith-Lawrence,27.77,Groceries
repurpose compelling web-readiness,49.50,Entertainment
Garcia PLC,29.99,Transport
matrix value-added metrics,54.86,Dining Out
Simmons-Moran,39.44,Entertainment
grow bleeding-edge architectures,30.05,Groceries
Randall-Nelson,78.79,Transport
iterate transparent infrastructures,27.67,Groceries
Clark Ltd,34.28,Dining Out
transform compelling initiatives,25.06,Groceries
Jackson-Smith,57.23,Dining Out
scale B2C solutions,18.90,Groceries
"Mosley, Mosley and Smith",99.79,Transport
utilize robust models,96.92,Dining Out
Mcmillan Ltd,43.96,Utilities
morph value-added content,99.70,Entertainment
"Lewis, Petty and Jones",83.37,Healthcare
iterate dynamic e-services,29.30,Entertainment
Dunn and Sons,87.93,Transport
envisioneer bleeding-edge vortals,97.63,Entertainment
"Love, Reese and Diaz",39.57,Utilities
synergize B2B markets,84.56,Entertainment
"Davila, Robertson and Harris",61.43,Utilities
integrate bleeding-edge experiences,81.70,Transport
Rice-Lucas,14.48,Groceries
morph innovative users,92.81,Transport
Collins-Robinson,93.59,Groceries
target out-of-the-box paradigms,99.85,Utilities
"Nelson, Alvarez and Clark",33.19,Groceries
scale B2B technologies,71.70,Dining Out
Holder-Stewart,72.19,Entertainment
streamline vertical solutions,65.22,Transport
Lee-Duncan,49.56,Entertainment
matrix visionary eyeballs,48.86,Dining Out
Davenport-Patel,47.94,Groceries
grow sticky functionalities,59.63,Utilities
"Hughes, Wyatt and Dominguez",20.64,Dining Out
streamline strategic channels,60.32,Utilities
"Smith, Tran and Evans",93.99,Entertainment
cultivate granular channels,43.56,Healthcare
"Douglas, Oconnell and Perez",46.54,Utilities
transition B2C supply-chains,50.15,Utilities
Atkins LLC,61.81,Groceries
utilize e-business action-items,16.29,Transport
Baker-King,31.51,Healthcare
exploit customized bandwidth,63.39,Utilities
Bishop PLC,81.25,Transport
unleash rich portals,89.32,Utilities
"Olson, Russell and Harris",21.80,Utilities
cultivate e-business info-mediaries,87.85,Groceries
Clayton Group,94.48,Groceries
incentivize enterprise communities,24.15,Utilities
Hodges and Sons,76.52,Entertainment
visualize compelling metrics,42.28,Entertainment
"Shaw, Ramsey and Craig",95.18,Transport
engage global e-services,29.31,Healthcare
Lewis PLC,44.42,Groceries
synthesize virtual eyeballs,36.68,Transport
Kelly-Young,76.49,Dining Out
strategize web-enabled e-commerce,83.93,Healthcare
Anderson LLC,64.47,Healthcare
innovate world-class action-items,65.89,Groceries
Leon-Henderson,36.20,Entertainment
re-intermediate global solutions,65.72,Transport
"Jones, Raymond and Adams",24.03,Transport
transform vertical e-services,71.55,Utilities
Aguirre PLC,67.53,Utilities
transform impactful partnerships,47.70,Entertainment
"Moore, Mullins and Wallace",28.15,Healthcare
orchestrate bleeding-edge action-items,89.88,Dining Out
Hopkins Group,44.76,Entertainment
exploit revolutionary markets,40.96,Entertainment
Rodgers LLC,12.99,Groceries
iterate 24/7 networks,67.38,Transport
Barker LLC,74.51,Entertainment
transition revolutionary e-markets,21.88,Groceries
Rivera-Johnson,46.63,Entertainment
strategize transparent systems,52.62,Groceries
Wright-Watson,17.47,Groceries
deliver ubiquitous systems,57.20,Healthcare
Dalton Group,98.78,Transport
architect intuitive partnerships,37.73,Utilities
Brown-Jacobs,26.90,Healthcare
incubate cutting-edge channels,40.20,Dining Out
"Conley, Kelly and Peterson",72.11,Healthcare
enable leading-edge architectures,65.24,Dining Out
"Snow, Morrow and Patterson",58.70,Healthcare
evolve vertical convergence,12.96,Utilities
Bowen LLC,95.13,Entertainment
leverage next-generation solutions,11.22,Dining Out
Gutierrez Ltd,70.15,Utilities
incentivize next-generation vortals,13.95,Transport
"Brown, Ford and Norton",21.65,Entertainment
expedite mission-critical synergies,46.23,Entertainment
Barron-Park,27.75,Utilities
engineer frictionless interfaces,58.94,Healthcare
"Martinez, Skinner and Mccann",34.26,Dining Out
synergize distributed eyeballs,77.72,Entertainment
"Marquez, Anderson and Ramirez",31.63,Utilities
enable proactive metrics,69.73,Entertainment
Martinez-Smith,74.37,Healthcare
maximize extensible bandwidth,85.46,Healthcare
Riley-Foster,70.48,Groceries
utilize scalable e-services,95.35,Dining Out
Brown-Jordan,27.84,Healthcare
innovate 24/365 niches,20.65,Utilities
"Martinez, Williams and Martinez",18.24,Entertainment
strategize cross-platform partnerships,42.65,Entertainment
Vasquez Inc,18.06,Dining Out
deliver 24/7 mindshare,59.76,Entertainment
Young-Vazquez,68.15,Utilities
reinvent ubiquitous portals,99.19,Utilities
Duncan-Jenkins,94.92,Transport
utilize cutting-edge channels,81.28,Dining Out
"Lee, Saunders and Marquez",25.45,Dining Out
expedite turn-key models,30.97,Entertainment
Dodson-Flores,31.10,Groceries
incubate leading-edge communities,29.33,Groceries
"Nunez, Williams and Patton",91.41,Transport
deploy revolutionary schemas,50.86,Groceries
"Leonard, Francis and Robinson",83.91,Groceries
deliver virtual channels,91.95,Healthcare
Santos-Vance,34.62,Entertainment
redefine best-of-breed ROI,59.44,Utilities
White Group,10.86,Dining Out
unleash intuitive applications,95.30,Dining Out
Snyder LLC,98.54,Dining Out
deploy granular e-services,86.04,Entertainment
Waller Group,21.26,Healthcare
streamline e-business web services,57.30,Dining Out
Lopez-Hoffman,19.42,Dining Out
repurpose sticky ROI,86.96,Dining Out
"Wallace, Colon and Haney",60.16,Entertainment
strategize leading-edge portals,30.62,Groceries
Ray-Sanchez,17.56,Entertainment
seize scalable architectures,34.95,Dining Out
"Brooks, Miller and Berry",24.21,Healthcare
strategize cross-media vortals,11.87,Dining Out
Davis PLC,47.94,Utilities
drive seamless solutions,51.05,Transport
"Smith, Griffin and Wells",69.08,Utilities
matrix out-of-the-box infrastructures,99.05,Dining Out
Steele PLC,59.13,Groceries
matrix seamless channels,54.48,Groceries
Smith PLC,49.35,Dining Out
seize web-enabled architectures,91.43,Groceries
Bell-Rocha,40.75,Dining Out
facilitate strategic partnerships,60.90,Utilities
Phillips Inc,81.27,Dining Out
redefine bleeding-edge web services,91.12,Entertainment
Green Ltd,66.81,Transport
mesh world-class synergies,46.84,Healthcare
Marshall and Sons,88.37,Dining Out
re-intermediate plug-and-play applications,13.95,Dining Out
Parrish-Holden,12.21,Utilities
incubate global e-tailers,91.92,Healthcare
"Castaneda, Young and Lewis",60.11,Transport
empower web-enabled e-commerce,75.07,Groceries
Henry-Williams,61.34,Healthcare
benchmark innovative action-items,46.80,Transport
Hart PLC,86.57,Groceries
target bleeding-edge action-items,36.84,Utilities
"James, Humphrey and Gray",39.59,Groceries
transform plug-and-play convergence,19.93,Entertainment
"Moore, Maldonado and Williamson",63.69,Entertainment
deploy cutting-edge e-tailers,34.41,Healthcare
West PLC,94.97,Entertainment
morph one-to-one e-commerce,71.62,Utilities
Peterson PLC,74.18,Groceries
streamline proactive e-business,82.90,Groceries
"Ashley, Olson and Lara",60.06,Healthcare
redefine killer web services,46.40,Entertainment
Rose-Cross,61.23,Healthcare
innovate sticky info-mediaries,65.52,Entertainment
"Wilson, Watson and Gonzalez",49.63,Healthcare
embrace interactive metrics,36.86,Transport
Thomas-Gamble,38.74,Healthcare
leverage plug-and-play web-readiness,11.57,Healthcare
Velazquez and Sons,67.13,Entertainment
architect clicks-and-mortar experiences,26.83,Groceries
Jackson-Daniels,50.41,Utilities
expedite turn-key bandwidth,33.74,Healthcare
Stewart-Johnson,45.73,Dining Out
transform front-end info-mediaries,45.23,Entertainment
Lee-Johnson,10.24,Utilities
brand scalable paradigms,81.58,Healthcare
Copeland LLC,69.21,Transport
incubate extensible synergies,55.63,Entertainment
"Salazar, Benson and Williams",18.77,Transport
aggregate turn-key bandwidth,27.30,Dining Out
Russell Ltd,83.82,Entertainment
deploy granular experiences,44.76,Utilities
"Li, Edwards and Jones",24.77,Utilities
maximize sticky e-commerce,95.19,Entertainment
"Jordan, Lane and Martinez",82.90,Healthcare
drive seamless content,99.20,Dining Out
Huff Inc,47.94,Groceries
scale back-end users,43.82,Dining Out
Bailey-Robles,92.46,Groceries
strategize efficient vortals,98.93,Dining Out
"Turner, Bates and Murphy",72.36,Utilities
transform ubiquitous markets,69.20,Dining Out
"Butler, Grimes and Steele",81.70,Entertainment
re-contextualize intuitive markets,18.66,Entertainment
"Schmidt, Warner and Reynolds",70.91,Entertainment
revolutionize B2B paradigms,40.91,Utilities
Clarke Inc,83.71,Groceries
embrace integrated methodologies,73.96,Entertainment
"Jones, Morris and Coleman",82.77,Groceries
implement value-added systems,35.83,Healthcare
"Marshall, Rogers and Irwin",80.62,Entertainment
brand magnetic content,90.08,Transport
Montes-Smith,19.25,Entertainment
brand B2C partnerships,28.27,Entertainment
"Bennett, Gutierrez and Becker",82.69,Transport
matrix clicks-and-mortar vortals,33.27,Healthcare
Faulkner-Cooper,32.55,Entertainment
synthesize cutting-edge users,65.29,Entertainment
Cobb-Thompson,58.65,Utilities
exploit cross-platform metrics,98.08,Transport
"Roberts, Barron and Hood",98.72,Transport
target magnetic portals,42.74,Utilities
Fletcher-Carey,63.44,Entertainment
generate rich solutions,73.97,Entertainment
"Holmes, Hart and Larsen",50.42,Entertainment
expedite bricks-and-clicks e-markets,40.44,Groceries
Nguyen-Morrow,28.72,Groceries
cultivate cross-media e-tailers,41.88,Utilities
Anderson LLC,16.93,Healthcare
synergize e-business experiences,20.34,Groceries
"Johnson, Fuller and Lopez",72.54,Transport
harness plug-and-play paradigms,83.78,Dining Out
"Mccarthy, Peters and Welch",63.44,Entertainment
exploit vertical applications,34.77,Entertainment
Hansen LLC,87.28,Transport
re-contextualize magnetic markets,60.87,Utilities
Mathis Group,48.69,Entertainment
visualize integrated partnerships,31.68,Utilities
Harvey-Lowe,29.23,Transport
re-intermediate extensible ROI,44.50,Healthcare
Woods LLC,36.57,Utilities
reinvent B2B portals,73.62,Entertainment
Cross-Shepherd,35.38,Dining Out
transform value-added partnerships,38.25,Groceries
"Powell, Zimmerman and Duke",65.50,Groceries
redefine customized experiences,28.65,Dining Out
"Barnes, Proctor and Lopez",72.23,Healthcare
engage scalable bandwidth,90.82,Utilities
"Burns, Vargas and Riley",87.74,Groceries
utilize value-added convergence,47.53,Healthcare
Brown LLC,24.31,Dining Out
re-intermediate holistic markets,79.98,Utilities
Villarreal-Powell,29.06,Dining Out
harness synergistic vortals,77.56,Utilities
"Cruz, Jackson and Johnson",99.18,Transport
iterate robust interfaces,66.09,Transport
"Shannon, Carey and Hull",61.84,Healthcare
envisioneer B2C solutions,10.22,Groceries
Robinson Group,52.08,Transport
grow global interfaces,19.59,Groceries
Martinez Ltd,65.38,Dining Out
engineer impactful infrastructures,75.59,Entertainment
Pineda Ltd,88.94,Transport
incubate impactful channels,67.38,Healthcare
"Smith, Nguyen and Johnson",33.47,Groceries
productize compelling ROI,48.89,Dining Out
Carter-Hill,48.67,Dining Out
target intuitive vortals,74.95,Healthcare
"Brooks, Richardson and Parks",89.58,Entertainment
utilize seamless e-services,53.35,Transport
"Robertson, Bell and Lewis",76.65,Transport
scale virtual communities,13.17,Groceries
"Wilson, Hart and Mcknight",75.25,Healthcare
utilize dynamic systems,86.63,Transport
Johnson-Jackson,74.89,Healthcare
drive clicks-and-mortar vortals,98.24,Healthcare
Brewer Inc,17.29,Dining Out
syndicate web-enabled content,79.30,Dining Out
Quinn-King,61.82,Utilities
deliver global convergence,44.63,Transport
"Gates, Patton and Mitchell",32.65,Transport
utilize dot-com infrastructures,10.75,Healthcare
"Roberts, Weaver and Yu",78.41,Entertainment
iterate cross-platform mindshare,76.77,Utilities
Bennett-Strickland,52.41,Transport
deliver innovative e-services,74.44,Healthcare
Miller-Mueller,21.36,Healthcare
innovate customized methodologies,27.25,Dining Out
"Matthews, Martin and Wilson",18.26,Entertainment
incubate frictionless metrics,36.69,Utilities
Burke-Rice,12.96,Transport
whiteboard world-class markets,70.97,Healthcare
Bates and Sons,48.24,Transport
harness real-time communities,44.37,Transport
Gallegos-Black,10.47,Groceries
disintermediate distributed systems,11.11,Transport
Romero-Hunter,33.85,Healthcare
empower transparent schemas,58.39,Utilities
Johnson-Hernandez,19.82,Utilities
mesh B2B infrastructures,38.30,Entertainment
Williams Inc,86.66,Transport
transform cross-platform e-tailers,32.68,Entertainment
Zhang-Garcia,76.51,Transport
iterate killer niches,93.09,Dining Out
Banks-Wilson,24.94,Healthcare
drive dot-com schemas,35.33,Utilities
Hartman PLC,96.23,Dining Out
empower cross-media e-services,39.11,Utilities
"Murphy, Mahoney and Kennedy",74.49,Groceries
enhance transparent ROI,89.12,Utilities
Perez and Sons,83.65,Dining Out
enable 24/365 experiences,28.45,Groceries
Brown Group,27.26,Utilities
integrate scalable portals,34.29,Entertainment
Smith-Jordan,75.44,Entertainment
deliver efficient info-mediaries,77.59,Healthcare
Schmidt and Sons,91.96,Utilities
exploit integrated deliverables,67.98,Groceries
"Diaz, Aguilar and Bell",51.14,Utilities
re-contextualize innovative portals,63.38,Groceries
Valdez and Sons,44.88,Transport
embrace plug-and-play e-services,92.47,Transport
"Perez, Barnes and Reilly",39.83,Utilities
envisioneer vertical networks,28.18,Dining Out
Curtis-Mcdonald,34.63,Entertainment
empower frictionless channels,54.77,Groceries
Cox LLC,10.82,Utilities
re-contextualize scalable networks,28.38,Dining Out
"Bryant, Villegas and Johnston",70.84,Transport
cultivate frictionless convergence,15.16,Entertainment
Ortiz-May,24.88,Healthcare
architect web-enabled initiatives,32.92,Utilities
"Riley, Harrington and Lynch",83.08,Utilities
whiteboard front-end info-mediaries,55.36,Transport
Barnes-Olson,11.89,Dining Out
extend next-generation e-business,42.94,Utilities
Hubbard Group,42.75,Entertainment
integrate integrated ROI,18.85,Utilities
Burton-Andersen,28.22,Healthcare
maximize interactive e-services,23.35,Healthcare
Smith-Miller,56.35,Dining Out
generate B2C bandwidth,90.80,Dining Out
Martin LLC,40.24,Transport
transition next-generation e-business,32.36,Dining Out
"Gilbert, Fleming and Jones",64.58,Healthcare
cultivate end-to-end action-items,61.96,Groceries
Ramos-Moore,47.25,Transport
transform rich markets,43.27,Groceries
Peterson PLC,13.58,Dining Out
re-contextualize distributed content,79.06,Groceries
Aguilar PLC,79.45,Dining Out
streamline proactive platforms,92.47,Dining Out
"Ellis, Johnson and Smith",48.24,Healthcare
facilitate integrated deliverables,51.61,Entertainment
"Rogers, Thornton and Hayes",59.98,Entertainment
extend front-end e-commerce,42.09,Groceries
Rivera Inc,96.31,Entertainment
mesh e-business infrastructures,54.11,Entertainment
Chan-Smith,41.11,Groceries
incubate wireless partnerships,31.20,Entertainment
Monroe LLC,99.86,Transport
enable bleeding-edge partnerships,19.13,Groceries
Bernard LLC,16.21,Groceries
expedite magnetic applications,67.74,Entertainment
Walker-Martinez,93.00,Transport
incentivize next-generation solutions,25.61,Transport
Phillips Ltd,25.44,Healthcare
transform interactive partnerships,11.85,Transport
Kennedy Inc,45.68,Dining Out
streamline leading-edge channels,41.88,Dining Out
Garcia-Garcia,58.06,Transport
strategize plug-and-play metrics,65.93,Utilities
"Parker, King and Marquez",32.28,Groceries
iterate end-to-end markets,90.33,Healthcare
"Williams, Potts and Jones",69.34,Utilities
repurpose user-centric solutions,30.35,Utilities
Long Ltd,71.14,Healthcare
orchestrate holistic e-tailers,19.41,Dining Out
Graham-Clark,56.51,Utilities
cultivate impactful ROI,47.21,Groceries
"Walker, Nelson and Tyler",43.74,Transport
architect proactive synergies,70.76,Entertainment
Larsen-Floyd,25.30,Healthcare
cultivate interactive networks,58.16,Transport
Bailey-Carpenter,64.13,Groceries
repurpose customized methodologies,55.39,Entertainment
"Richards, Ward and Padilla",86.93,Dining Out
synthesize ubiquitous vortals,14.69,Entertainment
Owens-Thompson,59.72,Groceries
integrate proactive infrastructures,23.51,Groceries
Mercado and Sons,13.04,Utilities
drive dynamic channels,32.14,Groceries
"Wiggins, Olson and Solis",40.00,Groceries
iterate compelling deliverables,88.00,Utilities
